infrastructure,infrastructure_category,score,status
Toilet,toilet,20,1
Handwash,toilet,0,0
cctv,monitoring,20,1
Solar Panel,Energy resource,0,0
library,study,20,1
Drinking water,water,20,1
Tap water,water,0,0
Electricity,Energy resource,10,1
Playground,play ground,0,0
Digital board,study,0,0
News paper,study,0,0
hand pumps,water,0,0
boys toilet,toilet,0,0
girls toilet,toilet,0,0
cwsn toilet,toilet,10,1
cwsn boys toilet,toilet,0,0
cwsn girls toilet,toilet,0,0
boys urinals,toilet,0,0
girls urinals,toilet,0,0
incinerator,recycling,0,0
Protected well,water,0,0
book bank,study,0,0
